IPQA NO;Current Paper NO;Lot;Product Model;Equipment;Surface Treatment;Layout Design;Production Process;Edge Position;Board Specification;Board Length (mm);Board Width (mm);Minimum Hole Diameter (mm);Customer Number;Full Board Plating_Production Line Equipment Name;Full Board Plating_Copper Surface Requirement (um);Full Board Plating_Hole Copper Requirement (um);Full Board Plating_Copper Current Density;Full Board Plating_Spray Frequency (HZ);Full Board Plating_Copper Plating Time (min);Full Board Plating_Board Speed (m/min);Pattern Plating_Production;Pattern Plating_Copper Surface Requirement (um);Pattern Plating_Hole Copper Requirement (um);Pattern Plating_Plated Area (GTL);Pattern Plating_Plated Area (GBL);Pattern Plating_Copper Current Density;Pattern Plating_Tin Plating Current Density;Pattern Plating_Spray Frequency|Copper (HZ);Pattern Plating_Spray Frequency|Tin (HZ);Pattern Plating_Copper Plating Time (min);Pattern Plating_Tin Plating Time (min);Pattern Plating_Board Speed (m/min);Is Hole Plugged;Not Plugged;Plugged;Inspection Item;Requirement;Measured Range 1;Measured Range 2;Measured Range 3;Measured Range 4;Measured Range 5;Measured Range 6;Average Value;Judgment;min_requirement;judgement_criteria;label;thickness_min;thickness_max;thickness_mean;thickness_std;thickness_range;mfgpartId;Part Number;Panel Length;Panel Width;Part Length;Part Width;Line width/spacing (mm);Graphic Area C Side %;Graphic Area S Side %;Board Thickness (mm);Min. hole size;Total Hole Quantity;Ratio;Panel Size;Line Width (mm);Line Spacing (mm);is_vcp;minimal_thickness;maximal_thickness;thickness_asymmetry;thickness_req_ratio;thickness_delta;minimum_hole_diameter
DCI-20240606338;ECI-20240605005;WOA240528574-00-001-001;J0600001A00.0;2#龙门图电线;沉锡;A板;正片;短边;;622.0;520.5;0.35;H0080;东威;5;5;17;45.0;19.0;2;龙门;53;20;68.0;70.0;17.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;33.4;28.81;36.02;34.71;29.47;36.02;33.07;REJ;20.0;25.0;0;28.81;36.02;33.07;3.2;7.210000000000004;214262;J0600001A00.0;622.0;520.5;241.7;112.2;0.15/0.15;68.0;70.0;1.6;0.35;32144.0;4.571428571428572;323751.0;0.15;0.15;False;28.81;36.02;7.210000000000004;0.44049999999999995;8.809999999999999;0.35
DCI-20240606340;ECI-20240605006;WOA240601018-00-011-019;JP2C237LA0;2#龙门图电线;喷锡;A板;正片;短边;1.4(含铜);564.0;356.0;0.35;H0080;东威;5;5;17;45.0;19.0;2;龙门;38.4;20;50.0;30.0;17.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;43.22;31.43;33.4;44.53;29.47;34.05;36.01;REJ;20.0;25.0;0;29.47;44.53;36.02;6.31;15.06;2587;JP2C237LA0;564.0;356.0;335.5;180.0;0.2/0.2;50.0;30.0;1.5;0.35;;4.285714285714286;200784.0;0.2;0.2;False;29.47;44.53;15.060000000000002;0.4734999999999999;9.469999999999999;0.35
DCI-20240606342;ECI-20240606001;WOA240528565-00-002-004;JP40521EB1;2#龙门图电线;沉金;A板;正片;短边;0.8;600.0;432.0;0.4;H0085;东威;5;5;17;45.0;19.0;2;龙门;83.7;18;52.0;53.0;16.0;11.0;;;60.0;8;;;;;孔铜;≥18平均20;27.69;21.54;27.69;27.08;21.54;27.08;25.4;ACC;18.0;23.0;1;21.54;27.69;25.44;3.03;6.150000000000002;274817;JP40521EB1;600.0;432.0;280.29;202.01;0.254/0.254;52.0;53.0;1.575;0.4;11092.0;3.9375;259200.0;0.254;0.254;False;21.54;27.69;6.150000000000002;0.19666666666666663;3.539999999999999;0.4
DCI-20240606349;ECI-20240606002;WOA240603045-00-001-001;J0400142A00.0;2#龙门图电线;沉锡;A板;正片;短边;1.2;560.0;380.0;0.35;H0080;东威;5;5;17;45.0;19.0;2;龙门;52.9;20;44.0;35.0;17.0;11.0;;;60.0;8;;;;;孔铜;≥20平均25;34.05;22.27;33.4;35.36;22.27;32.43;29.9;ACC;20.0;25.0;1;22.27;35.36;29.96;6.03;13.09;276704;J0400142A00.0;560.0;380.0;354.0;265.0;0.15/0.15;44.0;35.0;1.6;0.35;19050.0;4.571428571428572;212800.0;0.15;0.15;False;22.27;35.36;13.09;0.11349999999999998;2.2699999999999996;0.35
DCI-20240606355;ECI-20240606003;WOA240529604-00-001-003;J0400106C00.0;1#东威图电VCP线;喷锡;A板;正片;短边;1;560.0;508.0;0.35;H0153;东威;5;5;17;45.0;19.0;2;龙门;47.9;18;43.0;46.0;16.0;11.0;;;60.0;8;;;;;孔铜;≥18平均20;30.12;21.61;30.78;28.81;20.3;30.12;26.9;ACC;18.0;23.0;1;20.3;30.78;26.96;4.71;10.48;270983;J0400106C00.0;560.0;508.0;160.0;106.0;0.487/0.318;43.0;46.0;1.6;0.35;10575.0;4.571428571428572;284480.0;0.487;0.318;True;20.3;30.78;10.48;0.12777777777777782;2.3000000000000007;0.35
DCI-20240606402;ECI-20240606004;WOA240529638-00-001-002;J0400141A00.0;2#龙门图电线;沉金;A板;正片;短边;0.8;622.0;546.0;0.45;H0080;东威;5;5;17;45.0;19.0;2;龙门;70;20;25.0;41.0;17.0;11.0;;;60.0;8;;;是;否;孔铜;≥20平均25;32.74;28.81;34.71;32.09;28.81;35.36;32.08;REJ;20.0;25.0;0;28.81;35.36;32.09;2.81;6.550000000000001;264749;J0400141A00.0;622.0;546.0;258.0;165.0;0.3/0.316;25.0;41.0;1.4;0.45;8061.0;3.111111111111111;339612.0;0.3;0.316;False;28.81;35.36;6.550000000000001;0.44049999999999995;8.809999999999999;0.45
DCI-20240606558;ECI-20240606005;WOA240601018-00-009-019;JP2C237LA0;1#东威图电VCP线;喷锡;A板;正片;短边;1.4(含铜);564.0;356.0;0.35;H0080;东威;5;5;17;45.0;19.0;2;龙门;38.4;20;50.0;30.0;17.0;11.0;;;60.0;8;;;是;否;孔铜;≥20平均25;34.71;24.23;36.67;28.16;24.23;26.2;29;ACC;20.0;25.0;1;24.23;36.67;29.03;5.39;12.44;2587;JP2C237LA0;564.0;356.0;335.5;180.0;0.2/0.2;50.0;30.0;1.5;0.35;;4.285714285714286;200784.0;0.2;0.2;True;24.23;36.67;12.440000000000001;0.21150000000000002;4.23;0.35
DCI-20240606559;ECI-20240606006;WOA240528588-00-006-006;JP4C365LA0;1#东威图电VCP线;喷锡;A板;正片;短边;0.71;622.0;520.5;0.4;H0080;东威;5;5;17;45.0;19.0;2;龙门;35;20;29.0;34.0;17.0;11.0;;;60.0;8;;;否;是;孔铜;≥20平均25;30.74;25.54;30.78;31.43;28.64;34.71;30.3;REJ;20.0;25.0;0;25.54;34.71;30.31;3.05;9.170000000000002;210600;JP4C365LA0;622.0;520.5;183.2;121.2;0.20/0.356;29.0;34.0;1.1;0.4;18353.0;2.75;323751.0;0.2;0.356;True;25.54;34.71;9.170000000000002;0.27699999999999997;5.539999999999999;0.4
DCI-20240606669;ECI-20240606010;WOA240601012-00-001-001;J0400149A00.0;2#龙门图电线;喷锡;A板;正片;短边;0.2;600.0;529.0;0.3;H0156;东威;5;5;17;45.0;19.0;2;龙门;52.9;20;49.0;42.0;18.0;11.0;;;60.0;8;;;否;是;孔铜;≥20平均25;37.33;26.85;33.4;38.64;28.81;32.74;32.96;REJ;20.0;25.0;0;26.85;38.64;32.96;4.61;11.79;268394;J0400149A00.0;600.0;529.0;280.0;250.0;0.12/0.207;49.0;42.0;1.6;0.3;13695.0;5.333333333333334;317400.0;0.12;0.207;False;26.85;38.64;11.79;0.3425000000000001;6.850000000000001;0.3
DCI-20240607427;ECI-20240607002;WOA240529630-00-001-005;JP40518EB1;1#东威图电VCP线;沉金;A板;正片;短边;0.6;622.0;496.0;0.35;H0085;荣信;5;5;2.5;45.0;18.0;1.3;龙门;70;18;41.0;44.0;15.0;11.0;;;60.0;8;;;否;是;孔铜;≥18平均20;25.59;22.97;26.25;25.59;22.31;26.25;24.8;ACC;18.0;23.0;1;22.31;26.25;24.83;1.73;3.940000000000001;273991;JP40518EB1;622.0;496.0;267.21;192.01;0.203/254;41.0;44.0;1.565;0.35;;4.471428571428572;308512.0;0.203;254.0;True;22.31;26.25;3.9400000000000013;0.23944444444444438;4.309999999999999;0.35
DCI-20240607437;ECI-20240607003;WOA240601023-00-001-008;JB2C393LB3;2#东威板电VCP线;喷锡;A板;负片;短边;1.5(含铜);626.0;412.0;0.325;H0080;东威;57.9;20;25;45.0;48.8;0.8;;;;;;;;;;;;;;否;是;孔铜;≥20平均25;31.5;23.63;34.78;32.16;23.63;31.5;29.5;ACC;20.0;25.0;1;23.63;34.78;29.53;4.73;11.15;73844;JB2C393LB3;626.0;412.0;370.0;304.5;;;;1.6;0.325;26421.0;4.923076923076923;257912.0;;;True;23.63;34.78;11.150000000000002;0.18149999999999994;3.629999999999999;0.325
DCI-20240607441;ECI-20240607004;WOA240531703-00-001-004;JP4C193EB3;2#东威板电VCP线;沉金;A板;负片;;0.26;622.0;451.0;0.45;H0080;东威;35;20;27;45.0;48.8;0.8;;;;;;;;;;;;;;否;是;孔铜;≥20平均25;30.19;28.22;30.84;31.5;28.22;30.84;29.96;REJ;20.0;25.0;0;28.22;31.5;29.97;1.42;3.280000000000001;275835;JP4C193EB3;622.0;451.0;141.0;116.0;;;;0.7;0.45;13694.0;1.555555555555555;280522.0;;;True;28.22;31.5;3.280000000000001;0.4109999999999999;8.219999999999999;0.45
DCI-20240612260;ECI-20240612001;WOA240530649-00-005-007;J0400154A00.0;2#龙门图电线;沉锡;A板;正片;短边;0.8;580.0;526.0;0.325;H0080;东威;5;5;17;45.0;19.0;2;龙门;33.4;20;43.0;36.0;17.0;11.0;;;60.0;8;;;否;是;孔铜;≥20平均25;26.27;23.65;30.87;24.96;22.33;30.21;26.38;ACC;20.0;25.0;1;22.33;30.87;26.38;3.48;8.540000000000003;269573;J0400154A00.0;580.0;526.0;275.0;250.0;0.15/0.15;43.0;36.0;1.5;0.325;23565.0;4.615384615384615;305080.0;0.15;0.15;False;22.33;30.87;8.540000000000003;0.11649999999999991;2.3299999999999983;0.325
DCI-20240612264;ECI-20240612002;WOA240525503-00-001-001;J0400137B00.0;2#龙门图电线;喷锡;A板;正片;短边;1;622.0;470.0;0.35;H0154;东威;5;5;17;45.0;19.0;2;龙门;35;20;62.0;59.0;17.0;11.0;;;60.0;8;;;否;是;孔铜;≥20平均25;33.5;28.9;35.47;34.15;28.92;32.84;32.29;REJ;20.0;25.0;0;28.9;35.47;32.3;2.76;6.57;279677;J0400137B00.0;622.0;470.0;220.72;144.21;0.178/0.201;62.0;59.0;1.6;0.35;10193.0;4.571428571428572;292340.0;0.178;0.201;False;28.9;35.47;6.57;0.44499999999999995;8.899999999999999;0.35
DCI-20240612388;ECI-20240612003;WOA240604049-00-002-009;JP20162ED0;1#东威图电VCP线;沉金;A板;正片;短边;1.5(含铜);613.2;364.0;0.6;H0022;东威;5;5;17;45.0;19.0;2;龙门;33;18;32.0;44.0;15.0;11.0;;;60.0;8;;;是;否;孔铜;≥18平均20;28.24;21.02;34.15;28.9;22.99;33.5;28.13;ACC;18.0;23.0;1;21.02;34.15;28.13;5.34;13.13;934;JP20162ED0;613.2;364.0;295.5;345.44;0.254/;32.0;44.0;1.57;0.6;;2.616666666666667;223204.8;0.254;;True;21.02;34.15;13.129999999999999;0.16777777777777775;3.0199999999999996;0.6
DCI-20240612391;ECI-20240612004;WOA240601003-00-001-001;J04T0015A00.0;2#龙门图电线;;A板;正片;短边;1;600.0;452.0;0.5;H0125;东威;5;5;17;45.0;19.0;2;龙门;70;18;63.0;30.0;14.0;11.0;;;60.0;8;;;是;否;孔铜;管控要求孔≥21平均23（MI要求≥18平均20）;36.78;23.65;29.56;36.13;21.02;28.27;29.23;ACC;18.0;23.0;0;21.02;36.78;29.24;6.39;15.76;275419;J04T0015A00.0;600.0;452.0;210.0;189.99;0.4/;63.0;30.0;1.6;0.5;4608.0;3.2;271200.0;0.4;;False;21.02;36.78;15.760000000000002;0.16777777777777775;3.0199999999999996;0.5
DCI-20240612392;ECI-20240612005;WOA240601002-00-001-001;J04T0012A00.0;2#龙门图电线;;A板;正片;短边;1.1;600.0;450.0;0.5;H0125;东威;5;5;17;45.0;19.0;2;龙门;70;18;64.0;30.0;14.0;11.0;;;60.0;8;;;是;否;孔铜;管控要求孔≥21平均23（MI要求≥18平均20）;31.53;26.93;32.84;30.87;24.96;33.5;30.11;REJ;18.0;23.0;0;24.96;33.5;30.11;3.41;8.54;275330;J04T0012A00.0;600.0;450.0;210.0;189.99;0.4/;64.0;30.0;1.6;0.5;4608.0;3.2;270000.0;0.4;;False;24.96;33.5;8.54;0.3866666666666667;6.960000000000001;0.5
DCI-20240612543;ECI-20240612006;WOA240530663-00-001-004;J0600024A00.0;1#东威图电VCP线;喷锡;A板;正片;短边;;622.0;470.0;0.4;H0080;荣信;5;5;2.5;45.0;18.0;1.3;龙门;50;20;79.0;79.0;14.0;11.0;;;60.0;8;;;否;是;孔铜;≥20平均25;27.59;24.3;26.27;26.93;24.3;28.9;26.38;ACC;20.0;25.0;1;24.3;28.9;26.38;1.83;4.599999999999998;240619;J0600024A00.0;622.0;470.0;295.9;210.8;0.203/0.152;79.0;79.0;1.35;0.4;21790.0;3.375;292340.0;0.203;0.152;True;24.3;28.9;4.599999999999998;0.21500000000000002;4.300000000000001;0.4
DCI-20240612544;ECI-20240612007;WOA240527547-00-001-001;J04T0010A00.0;2#龙门图电线;;A板;正片;短边;1.2;600.0;448.0;0.5;H0125;东威;5;5;17;45.0;19.0;2;龙门;35;18;63.0;28.0;14.0;11.0;;;60.0;8;;;是;否;孔铜;管控要求孔≥21平均23（MI要求≥18平均20）;26.93;22.99;30.21;28.24;22.99;29.56;26.82;ACC;18.0;23.0;1;22.99;30.21;26.82;3.17;7.220000000000002;269985;J04T0010A00.0;600.0;448.0;210.0;189.99;0.4/;63.0;28.0;1.6;0.5;4569.0;3.2;268800.0;0.4;;False;22.99;30.21;7.220000000000002;0.27722222222222215;4.989999999999998;0.5
DCI-20240612545;ECI-20240612008;WOA240601006-00-001-001;J04T0017A00.0;2#龙门图电线;;A板;正片;短边;1.2;600.0;446.0;0.5;H0125;东威;5;5;17;45.0;19.0;2;龙门;35;18;64.0;26.0;14.0;11.0;;;60.0;8;;;是;否;孔铜;管控要求孔≥21平均23（MI要求≥18平均20）;29.54;22.15;25.23;28.92;21.54;24.62;25.33;ACC;18.0;23.0;1;21.54;29.54;25.33;3.33;8.0;275680;J04T0017A00.0;600.0;446.0;210.0;189.99;0.4/;64.0;26.0;1.6;0.5;4608.0;3.2;267600.0;0.4;;False;21.54;29.54;8.0;0.19666666666666663;3.539999999999999;0.5
DCI-20240612550;ECI-20240612011;WOA240527546-00-001-001;J04T0009A00.0;2#龙门图电线;;A板;正片;短边;1;600.0;446.0;0.5;H0125;东威;5;5;17;45.0;19.0;2;龙门;35;18;64.0;28.0;14.0;11.0;;;60.0;8;;;是;否;孔铜;管控要求孔≥21平均23（MI要求≥18平均20）;27.59;21.36;23.65;29.56;21.36;25.62;24.85;ACC;18.0;23.0;1;21.36;29.56;24.86;3.35;8.2;269876;J04T0009A00.0;600.0;446.0;210.0;189.99;0.4/;64.0;28.0;1.6;0.5;4608.0;3.2;267600.0;0.4;;False;21.36;29.56;8.2;0.18666666666666665;3.3599999999999994;0.5
DCI-20240612551;ECI-20240612012;WOA240530644-00-001-001;J04T0014A00.0;2#龙门图电线;;A板;正片;短边;1.2;600.0;450.0;0.5;H0125;东威;5;5;17;45.0;19.0;2;龙门;35;18;63.0;29.0;14.0;11.0;;;60.0;8;;;是;否;孔铜;管控要求孔≥21平均23（MI要求≥18平均20）;35.47;25.62;28.9;33.5;26.93;27.59;29.66;REJ;18.0;23.0;0;25.62;35.47;29.67;3.93;9.849999999999998;273713;J04T0014A00.0;600.0;450.0;210.0;189.99;0.4/;63.0;29.0;1.6;0.5;4569.0;3.2;270000.0;0.4;;False;25.62;35.47;9.849999999999998;0.4233333333333334;7.620000000000001;0.5
DCI-20240612552;ECI-20240612013;WOA240601004-00-001-001;J04T0016A00.0;2#龙门图电线;;A板;正片;短边;1.1;600.0;446.0;0.5;H0125;东威;5;5;17;45.0;19.0;2;龙门;70;18;64.0;30.0;14.0;11.0;;;60.0;8;;;是;否;孔铜;管控要求孔≥21平均23（MI要求≥18平均20）;24.96;21.68;27.59;24.3;21.36;28.24;24.68;ACC;18.0;23.0;1;21.36;28.24;24.69;2.88;6.879999999999999;275454;J04T0016A00.0;600.0;446.0;210.0;189.99;0.4/;64.0;30.0;1.6;0.5;4608.0;3.2;267600.0;0.4;;False;21.36;28.24;6.879999999999999;0.18666666666666665;3.3599999999999994;0.5
DCI-20240612553;ECI-20240612014;WOA240530643-00-001-001;J04T0013A00.0;2#龙门图电线;;A板;正片;短边;1;600.0;447.0;0.5;H0125;东威;5;5;17;45.0;19.0;2;龙门;35;18;63.0;28.0;14.0;11.0;;;60.0;8;;;是;否;孔铜;管控要求孔≥21平均23（MI要求≥18平均20）;26.93;21.36;24.96;28.9;21.02;24.98;24.69;ACC;18.0;23.0;1;21.02;28.9;24.69;3.08;7.879999999999999;271343;J04T0013A00.0;600.0;447.0;210.0;189.99;0.4/;63.0;28.0;1.6;0.5;4608.0;3.2;268200.0;0.4;;False;21.02;28.9;7.879999999999999;0.16777777777777775;3.0199999999999996;0.5
DCI-20240613277;ECI-20240613002;WOA240611202-00-001-001;J0200150A00.0;2#龙门图电线;喷锡;A板;正片;短边;1.5;600.0;434.0;0.5;H0200;东威;5;5;17;45.0;19.0;2;龙门;33.4;18;52.0;55.0;16.0;11.0;;;60.0;8;;;否;是;孔铜;≥18平均20;27.13;22.15;27.36;29.97;21.5;29.97;26.34;ACC;18.0;23.0;1;21.5;29.97;26.35;3.71;8.469999999999999;281242;J0200150A00.0;600.0;434.0;206.0;142.0;0.254/0.127;52.0;55.0;1.6;0.5;6189.0;3.2;260400.0;0.254;0.127;False;21.5;29.97;8.469999999999999;0.19444444444444445;3.5;0.5
DCI-20240613281;ECI-20240613001;WOA240611200-00-001-001;J0200149A00.0;2#龙门图电线;沉金;A板;正片;短边;0.9;600.0;546.0;0.35;H0200;东威;5;5;17;45.0;19.0;2;龙门;33.4;18;55.0;65.0;16.0;11.0;;;60.0;8;;;否;是;孔铜;≥18平均20;29.32;23.58;28.67;29.97;24.37;28.67;27.43;REJ;18.0;23.0;0;23.58;29.97;27.43;2.73;6.390000000000001;281328;J0200149A00.0;600.0;546.0;144.0;105.0;0.254/0.49;55.0;65.0;1.0;0.35;48866.0;2.857142857142857;327600.0;0.254;0.49;False;23.58;29.97;6.390000000000001;0.3099999999999999;5.579999999999998;0.35
DCI-20240614263;ECI-20240614001;WOA240611206-00-003-006;J0200065A00.0;1#东威图电VCP线;喷锡;A板;正片;短边;1.6;622.0;470.0;0.5;H0080;东威;5;5;17;45.0;19.0;2;东威;35;20;75.0;73.0;28.0;16.0;35;30;36.0;6;1;;否;是;孔铜;≥20平均25;32.57;23.45;29.97;33.23;23.45;28.67;28.55;ACC;20.0;25.0;1;23.45;33.23;28.56;4.29;9.779999999999998;237906;J0200065A00.0;622.0;470.0;220.4;46.28;0.305/0.254;75.0;73.0;1.55;0.5;15588.0;3.1;292340.0;0.305;0.254;True;23.45;33.23;9.779999999999998;0.17249999999999996;3.4499999999999993;0.5
